"year","month","HF_1","HF_2","PnET_1","PnET_2","PnET_3","Princeton"
1913,3,NA,NA,-6.7,-5.186,NA,-7.76879754835557
1913,4,NA,NA,0.7,0.543,NA,-0.0696451822916439
1913,5,NA,NA,6.8,6.2425,NA,6.93351184475809
1913,6,NA,NA,9,10.742,NA,10.7086140950521
1913,7,NA,NA,13.9,13.83,NA,12.9643670851185
1913,8,NA,NA,11.4,13.152,NA,12.2027448100429
1913,9,NA,NA,8.4,7.999,NA,7.96904907226565
1913,10,NA,NA,3,2.1825,NA,6.59806853263611
1913,11,NA,NA,-2.2,-1.9215,NA,-0.171326700846331
1913,12,NA,NA,-5.5,-7.8835,NA,-7.44131194083919
1914,1,NA,NA,-6.5,-11.4205,NA,-11.302360977665
1914,2,NA,NA,-13,-10.633,NA,-12.6975115094866
1914,3,NA,NA,-3.2,-5.186,NA,-3.62033100743445
1914,4,NA,NA,1.1,0.543,NA,1.58748270670575
1914,5,NA,NA,4.3,6.2425,NA,5.4352739887853
1914,6,NA,NA,9.8,10.742,NA,12.2345672607422
1914,7,NA,NA,13.3,13.83,NA,13.3289300733997
1914,8,NA,NA,11.9,13.152,NA,13.8492291850429
1914,9,NA,NA,7.6,7.999,NA,6.92180277506513
1914,10,NA,NA,6.8,2.1825,NA,2.63802588678178
1914,11,NA,NA,-2.2,-1.9215,NA,-4.15574442545571
1914,12,NA,NA,-6.9,-7.8835,NA,-10.9415585425592
1915,1,NA,NA,-12.4,-11.4205,NA,-14.6903826313634
1915,2,NA,NA,-14.9,-10.633,NA,-9.74831346784317
1915,3,NA,NA,-4.3,-5.186,NA,-1.61933475617437
1915,4,NA,NA,-1.2,0.543,NA,1.53658548990888
1915,5,NA,NA,6,6.2425,NA,9.01141042401716
1915,6,NA,NA,9.9,10.742,NA,11.0629119873047
1915,7,NA,NA,12.8,13.83,NA,15.5276969663559
1915,8,NA,NA,13.4,13.152,NA,15.616839796497
1915,9,NA,NA,6.4,7.999,NA,10.0602884928386
1915,10,NA,NA,4.2,2.1825,NA,4.52081180695567
1915,11,NA,NA,-4.3,-1.9215,NA,0.137487792968773
1915,12,NA,NA,-10.2,-7.8835,NA,-8.46876201014363
1916,1,NA,NA,-8.8,-11.4205,NA,-8.73932987336187
1916,2,NA,NA,-8.3,-10.633,NA,-8.26551324252422
1916,3,NA,NA,-7.6,-5.186,NA,-8.91833023563506
1916,4,NA,NA,2.1,0.543,NA,-0.304475911458311
1916,5,NA,NA,4.1,6.2425,NA,5.0779485887097
1916,6,NA,NA,9.6,10.742,NA,13.7275950113933
1916,7,NA,NA,13.9,13.83,NA,14.3208547284526
1916,8,NA,NA,12.6,13.152,NA,13.5070099861391
1916,9,NA,NA,9.9,7.999,NA,7.27841593424481
1916,10,NA,NA,3.2,2.1825,NA,2.33312771704891
1916,11,NA,NA,-2.2,-1.9215,NA,-1.42262369791664
1916,12,NA,NA,-8.1,-7.8835,NA,-5.73693867345008
1917,1,NA,NA,-9.8,-11.4205,NA,-10.4784661077684
1917,2,NA,NA,-12.9,-10.633,NA,-9.67642822265623
1917,3,NA,NA,-10.1,-5.186,NA,-5.34446588331651
1917,4,NA,NA,1.3,0.543,NA,3.88406473795575
1917,5,NA,NA,6,6.2425,NA,7.75098227224045
1917,6,NA,NA,9.2,10.742,NA,13.2200307210287
1917,7,NA,NA,15.6,13.83,NA,14.5901447911417
1917,8,NA,NA,12.6,13.152,NA,15.1452841481855
1917,9,NA,NA,7.8,7.999,NA,9.75437011718752
1917,10,NA,NA,2.1,2.1825,NA,4.47255957818803
1917,11,NA,NA,-3.1,-1.9215,NA,-1.75247802734373
1917,12,NA,NA,-7.8,-7.8835,NA,-9.36881201959423
1918,1,NA,NA,-11.4,-11.4205,NA,-9.04483150359121
1918,2,NA,NA,-12.9,-10.633,NA,-10.8329441615513
1918,3,NA,NA,-5.1,-5.186,NA,-1.75120318012851
1918,4,NA,NA,-0.6,0.543,NA,2.04377746582034
1918,5,NA,NA,2.7,6.2425,NA,6.22488285187754
1918,6,NA,NA,11.8,10.742,NA,14.2695861816406
1918,7,NA,NA,14.7,13.83,NA,16.4662316106981
1918,8,NA,NA,13.7,13.152,NA,16.3118146342616
1918,9,NA,NA,5.2,7.999,NA,9.60750020345054
1918,10,NA,NA,2.5,2.1825,NA,3.4129577636719
1918,11,NA,NA,-5.3,-1.9215,NA,-1.70199381510414
1918,12,NA,NA,-13.3,-7.8835,NA,-4.89318276682205
1919,1,NA,NA,-15.1,-11.4205,NA,-10.5274231941469
1919,2,NA,NA,-12.4,-10.633,NA,-11.5457039969308
1919,3,NA,NA,-5.8,-5.186,NA,-5.62734119046117
1919,4,NA,NA,-0.1,0.543,NA,2.06744791666669
1919,5,NA,NA,8.4,6.2425,NA,8.94106839087704
1919,6,NA,NA,8.7,10.742,NA,11.4331654866537
1919,7,NA,NA,13.7,13.83,NA,15.5934849892893
1919,8,NA,NA,13,13.152,NA,15.4337550009451
1919,9,NA,NA,6.9,7.999,NA,12.4752451578776
1919,10,NA,NA,3.6,2.1825,NA,5.14413235572079
1919,11,NA,NA,-1.8,-1.9215,NA,-0.615783691406227
1919,12,NA,NA,-7.3,-7.8835,NA,-6.76983366935482
1920,1,NA,NA,-9,-11.4205,NA,-9.93871548560356
1920,2,NA,NA,-8.9,-10.633,NA,-10.6195823932516
1920,3,NA,NA,-3.8,-5.186,NA,-5.12757548670613
1920,4,NA,NA,-0.3,0.543,NA,1.00027669270836
1920,5,NA,NA,6.2,6.2425,NA,8.38512376354589
1920,6,NA,NA,11.1,10.742,NA,11.9406229654948
1920,7,NA,NA,14.4,13.83,NA,14.8013136340726
1920,8,NA,NA,11.3,13.152,NA,11.3056717411165
1920,9,NA,NA,9.3,7.999,NA,8.68623657226565
1920,10,NA,NA,3.5,2.1825,NA,2.1901075793851
1920,11,NA,NA,-2,-1.9215,NA,-0.567022705078102
1920,12,NA,NA,-11.3,-7.8835,NA,-7.48285030241933
1921,1,NA,NA,-15.7,-11.4205,NA,-9.91283362603954
1921,2,NA,NA,-10.8,-10.633,NA,-12.7369407653808
1921,3,NA,NA,-5.9,-5.186,NA,-4.24582814862649
1921,4,NA,NA,-0.2,0.543,NA,1.55474853515627
1921,5,NA,NA,4.2,6.2425,NA,4.69677320911041
1921,6,NA,NA,11.1,10.742,NA,8.84789632161461
1921,7,NA,NA,12.8,13.83,NA,15.3929805632561
1921,8,NA,NA,14.8,13.152,NA,13.4411678191154
1921,9,NA,NA,8.8,7.999,NA,9.19367472330731
1921,10,NA,NA,5.1,2.1825,NA,2.00199230563258
1921,11,NA,NA,-3.6,-1.9215,NA,-0.0806070963541439
1921,12,NA,NA,-6,-7.8835,NA,-12.3578724522744
1922,1,NA,NA,-10.6,-11.4205,NA,-8.70133155084423
1922,2,NA,NA,-9.1,-10.633,NA,-7.06900743756973
1922,3,NA,NA,-2.2,-5.186,NA,-3.99360085764237
1922,4,NA,NA,2.2,0.543,NA,1.54874776204429
1922,5,NA,NA,5.4,6.2425,NA,6.04963910502774
1922,6,NA,NA,10.7,10.742,NA,12.062289428711
1922,7,NA,NA,16.2,13.83,NA,15.2700124432964
1922,8,NA,NA,10.5,13.152,NA,13.7419579290575
1922,9,NA,NA,10.5,7.999,NA,9.71919657389325
1922,10,NA,NA,1.9,2.1825,NA,5.14541114068803
1922,11,NA,NA,-2.2,-1.9215,NA,-3.00724792480466
1922,12,NA,NA,-9.7,-7.8835,NA,-7.89312714607483
1923,1,NA,NA,-13.6,-11.4205,NA,-10.5745029572517
1923,2,NA,NA,-8.8,-10.633,NA,-12.7578567504883
1923,3,NA,NA,-5.2,-5.186,NA,-5.97071218182961
1923,4,NA,NA,0,0.543,NA,1.43613993326825
1923,5,NA,NA,6.3,6.2425,NA,8.01482937720516
1923,6,NA,NA,12.9,10.742,NA,11.2135325113933
1923,7,NA,NA,13.2,13.83,NA,15.5934849892893
1923,8,NA,NA,13.2,13.152,NA,14.4361619518649
1923,9,NA,NA,8.7,7.999,NA,12.5624094645183
1923,10,NA,NA,3.1,2.1825,NA,3.94815732894408
1923,11,NA,NA,-1.8,-1.9215,NA,-1.93580118815102
1923,12,NA,NA,-10.2,-7.8835,NA,-6.10434767200099
1924,1,NA,NA,-12.9,-11.4205,NA,-8.88536534463203
1924,2,NA,NA,-14.7,-10.633,NA,-9.12178807751883
1924,3,NA,NA,-7.7,-5.186,NA,-7.54356256300401
1924,4,NA,NA,0.4,0.543,NA,-0.662459309895811
1924,5,NA,NA,4.7,6.2425,NA,5.49651883033016
1924,6,NA,NA,11.5,10.742,NA,12.2408345540365
1924,7,NA,NA,11.7,13.83,NA,12.57312976468
1924,8,NA,NA,11.1,13.152,NA,13.1453481366558
1924,9,NA,NA,10.2,7.999,NA,7.23286336263023
1924,10,NA,NA,2,2.1825,NA,1.77693205802674
1924,11,NA,NA,-2.6,-1.9215,NA,-1.83636067708331
1924,12,NA,NA,-4,-7.8835,NA,-6.49475855673511
1925,1,NA,NA,-11.4,-11.4205,NA,-7.19682873141379
1925,2,NA,NA,-13.7,-10.633,NA,-6.93518349783759
1925,3,NA,NA,-4.4,-5.186,NA,-4.0437318863407
1925,4,NA,NA,-0.6,0.543,NA,1.98195597330731
1925,5,NA,NA,4.9,6.2425,NA,7.73216670866938
1925,6,NA,NA,9.3,10.742,NA,14.2537129720052
1925,7,NA,NA,13.1,13.83,NA,16.9491417669481
1925,8,NA,NA,12.7,13.152,NA,14.8191536195817
1925,9,NA,NA,7,7.999,NA,9.54272867838544
1925,10,NA,NA,1.6,2.1825,NA,7.39572025422129
1925,11,NA,NA,-2.2,-1.9215,NA,-2.30838317871091
1925,12,NA,NA,-9.8,-7.8835,NA,-5.8873352050781
1926,1,NA,NA,-13.7,-11.4205,NA,-9.5939746487525
1926,2,NA,NA,-5.3,-10.633,NA,-11.3987160818917
1926,3,NA,NA,-4.6,-5.186,NA,-3.43795008505542
1926,4,NA,NA,0.2,0.543,NA,3.86520182291669
1926,5,NA,NA,4.1,6.2425,NA,8.27189075100809
1926,6,NA,NA,12.8,10.742,NA,11.2984344482422
1926,7,NA,NA,12.7,13.83,NA,14.100476467994
1926,8,NA,NA,11.9,13.152,NA,14.0188508064516
1926,9,NA,NA,9.2,7.999,NA,9.31878662109377
1926,10,NA,NA,-0.4,2.1825,NA,4.10838052072835
1926,11,NA,NA,-2.4,-1.9215,NA,-3.16761678059894
1926,12,NA,NA,-7,-7.8835,NA,-6.64459248204383
1927,1,NA,NA,-11.1,-11.4205,NA,-14.1184428553427
1927,2,NA,NA,-12.1,-10.633,NA,-6.44429844447542
1927,3,NA,NA,-8,-5.186,NA,-4.27441425938758
1927,4,NA,NA,-1.6,0.543,NA,1.56600850423179
1927,5,NA,NA,4.6,6.2425,NA,7.85164794921877
1927,6,NA,NA,9,10.742,NA,13.5102060953776
1927,7,NA,NA,12.9,13.83,NA,14.727440421812
1927,8,NA,NA,13.5,13.152,NA,12.7312521657636
1927,9,NA,NA,7.4,7.999,NA,9.98149922688804
1927,10,NA,NA,1.6,2.1825,NA,3.52424552671373
1927,11,NA,NA,-2.2,-1.9215,NA,0.720128377278669
1927,12,NA,NA,-12.1,-7.8835,NA,-4.30663589969756
1928,1,NA,NA,-10.3,-11.4205,NA,-8.64275158297629
1928,2,NA,NA,-7.8,-10.633,NA,-11.0273877374057
1928,3,NA,NA,-5,-5.186,NA,-6.30382729807205
1928,4,NA,NA,-1.1,0.543,NA,-1.74540913899737
1928,5,NA,NA,4.9,6.2425,NA,7.12878102948591
1928,6,NA,NA,8.9,10.742,NA,12.2318349202474
1928,7,NA,NA,14.5,13.83,NA,15.6967909289945
1928,8,NA,NA,10.9,13.152,NA,13.9799271122102
1928,9,NA,NA,8.3,7.999,NA,9.83628946940106
1928,10,NA,NA,4.4,2.1825,NA,0.565306435861918
1928,11,NA,NA,0.3,-1.9215,NA,-3.46136779785154
1928,12,NA,NA,-7.6,-7.8835,NA,-7.09477302797377
1929,1,NA,NA,-9.4,-11.4205,NA,-10.3292351507371
1929,2,NA,NA,-10.5,-10.633,NA,-10.1249363490513
1929,3,NA,NA,-6,-5.186,NA,-3.7341852003528
1929,4,NA,NA,-1.2,0.543,NA,0.187331136067731
1929,5,NA,NA,5.1,6.2425,NA,4.93526611328127
1929,6,NA,NA,10.7,10.742,NA,12.42177734375
1929,7,NA,NA,14.7,13.83,NA,13.7352942682082
1929,8,NA,NA,14.8,13.152,NA,13.042133749685
1929,9,NA,NA,6.7,7.999,NA,7.97439066569013
1929,10,NA,NA,3,2.1825,NA,3.10951459330899
1929,11,NA,NA,-1.8,-1.9215,NA,1.36389567057294
1929,12,NA,NA,-6,-7.8835,NA,-6.66746983681953
1930,1,NA,NA,-12.4,-11.4205,NA,-5.98727239793345
1930,2,NA,NA,-10.3,-10.633,NA,-7.66806477137972
1930,3,NA,NA,-3.7,-5.186,NA,-2.33449746408768
1930,4,NA,NA,0.2,0.543,NA,1.04212341308596
1930,5,NA,NA,5.2,6.2425,NA,5.67384072580647
1930,6,NA,NA,11,10.742,NA,12.8690958658854
1930,7,NA,NA,12.3,13.83,NA,15.3190679734753
1930,8,NA,NA,11.3,13.152,NA,15.2448315035913
1930,9,NA,NA,9.1,7.999,NA,9.75115051269534
1930,10,NA,NA,1.6,2.1825,NA,5.68431416173137
1930,11,NA,NA,-1.6,-1.9215,NA,-0.280848185221331
1930,12,NA,NA,-8.3,-7.8835,NA,-3.63062626008062
1931,1,NA,NA,-10.3,-11.4205,NA,-15.7687370054183
1931,2,NA,NA,-9.6,-10.633,NA,-10.8534950256347
1931,3,NA,NA,-5.1,-5.186,NA,-4.61397252236641
1931,4,NA,NA,-1.2,0.543,NA,-0.438997395833311
1931,5,NA,NA,6.8,6.2425,NA,7.8354185042843
1931,6,NA,NA,13,10.742,NA,10.7218546549479
1931,7,NA,NA,12.6,13.83,NA,15.4260291314894
1931,8,NA,NA,11.7,13.152,NA,13.0554846978957
1931,9,NA,NA,10,7.999,NA,10.0336191813151
1931,10,NA,NA,1.2,2.1825,NA,3.09770921276464
1931,11,NA,NA,-1.5,-1.9215,NA,0.295336914062523
1931,12,NA,NA,-8,-7.8835,NA,-4.05316624795235
1932,1,NA,NA,-12.4,-11.4205,NA,-8.90908439390119
1932,2,NA,NA,-10.2,-10.633,NA,-6.98008338665138
1932,3,NA,NA,-3.8,-5.186,NA,-7.82331621723788
1932,4,NA,NA,-0.1,0.543,NA,2.51140950520836
1932,5,NA,NA,6.1,6.2425,NA,7.41226668819307
1932,6,NA,NA,11,10.742,NA,11.487533569336
1932,7,NA,NA,15.2,13.83,NA,12.8178325037803
1932,8,NA,NA,12.9,13.152,NA,12.8590735650832
1932,9,NA,NA,10.2,7.999,NA,8.92423400878909
1932,10,NA,NA,3.4,2.1825,NA,3.68874708606353
1932,11,NA,NA,0.1,-1.9215,NA,-1.17692972819008
1932,12,NA,NA,-7.2,-7.8835,NA,-11.4856062366116
1933,1,NA,NA,-5.8,-11.4205,NA,-7.68909498645411
1933,2,NA,NA,-11,-10.633,NA,-8.58223353794641
1933,3,NA,NA,-6.8,-5.186,NA,-3.32575565461187
1933,4,NA,NA,-0.2,0.543,NA,-0.314643351236956
1933,5,NA,NA,5.5,6.2425,NA,10.0903013167843
1933,6,NA,NA,10.2,10.742,NA,12.4093922932943
1933,7,NA,NA,12.5,13.83,NA,17.1215946320565
1933,8,NA,NA,13.2,13.152,NA,15.2428350633191
1933,9,NA,NA,8.7,7.999,NA,8.63454793294273
1933,10,NA,NA,4.7,2.1825,NA,5.12270803143903
1933,11,NA,NA,-4.3,-1.9215,NA,1.35778808593752
1933,12,NA,NA,-6.7,-7.8835,NA,-7.85828690067412
1934,1,NA,NA,-6.4,-11.4205,NA,-14.9561031218498
1934,2,NA,NA,-8.9,-10.633,NA,-12.2272623334612
1934,3,NA,NA,-5.7,-5.186,NA,-6.02207818800401
1934,4,NA,NA,0.1,0.543,NA,-0.614477539062477
1934,5,NA,NA,6.5,6.2425,NA,7.41652832031252
1934,6,NA,NA,11.5,10.742,NA,10.5829833984375
1934,7,NA,NA,13.1,13.83,NA,14.4543208952873
1934,8,NA,NA,13.2,13.152,NA,12.5562604350429
1934,9,NA,NA,9.5,7.999,NA,11.1569986979167
1934,10,NA,NA,2,2.1825,NA,4.14792736422633
1934,11,NA,NA,-5.1,-1.9215,NA,0.875831095377627
1934,12,NA,NA,-11,-7.8835,NA,-3.61500618227064
1935,1,NA,NA,-9.8,-11.4205,NA,-15.5430053710937
1935,2,NA,NA,-18.6,-10.633,NA,-11.185096849714
1935,3,NA,NA,-5.7,-5.186,NA,-5.7495414487777
1935,4,NA,NA,0.9,0.543,NA,0.306803385416689
1935,5,NA,NA,6.7,6.2425,NA,7.50961874684982
1935,6,NA,NA,11.4,10.742,NA,11.2310557047526
1935,7,NA,NA,13.8,13.83,NA,15.1021263860887
1935,8,NA,NA,10.9,13.152,NA,12.6470285723287
1935,9,NA,NA,11.5,7.999,NA,10.0785552978516
1935,10,NA,NA,0.6,2.1825,NA,2.4584407683342
1935,11,NA,NA,-0.2,-1.9215,NA,1.35957031250002
1935,12,NA,NA,-9.6,-7.8835,NA,-3.03079341765371
1936,1,NA,NA,-14.4,-11.4205,NA,-8.40186747889363
1936,2,NA,NA,-10.9,-10.633,NA,-8.65977825296334
1936,3,NA,NA,-4.6,-5.186,NA,-5.23469513923889
1936,4,NA,NA,0.3,0.543,NA,3.84257609049481
1936,5,NA,NA,3.8,6.2425,NA,4.60683396862401
1936,6,NA,NA,11.6,10.742,NA,12.9582834879558
1936,7,NA,NA,14.7,13.83,NA,15.6540200510333
1936,8,NA,NA,12.4,13.152,NA,13.755255717616
