"V1","V2","V3","V4","V5","V6","V7","V8"
NA,NA,NA,NA,8.3,8.96,NA,85.4999991039222
NA,NA,NA,NA,7.8,9.448,NA,58.2999992206169
NA,NA,NA,NA,7,7.1995,NA,56.9000026298454
NA,NA,NA,NA,6.4,9.2545,NA,125.200003736245
NA,NA,NA,NA,7.8,10.123,NA,52.0000024030651
NA,NA,NA,NA,7,9.845,NA,155.399997602217
NA,NA,NA,NA,9.2,9.368,NA,29.6999997015519
NA,NA,NA,NA,8.8,11.341,NA,83.8999962899834
NA,NA,NA,NA,6.2,10.797,NA,104.300006103585
NA,NA,NA,NA,17.8,9.192,NA,126.699998625554
NA,NA,NA,NA,4.4,10.9265,NA,66.8000074743759
NA,NA,NA,NA,7.5,10.22,NA,139.999995685866
NA,NA,NA,NA,8.9,8.96,NA,42.0000003490713
NA,NA,NA,NA,7.1,9.448,NA,55.7000048167538
NA,NA,NA,NA,7.2,7.1995,NA,132.399993561557
NA,NA,NA,NA,11.8,9.2545,NA,105.89999874137
NA,NA,NA,NA,6.6,10.123,NA,150.100004504202
NA,NA,NA,NA,14.1,9.845,NA,83.0999995290767
NA,NA,NA,NA,4.3,9.368,NA,103.199997061165
NA,NA,NA,NA,8.2,11.341,NA,93.7000022269785
NA,NA,NA,NA,8.9,10.797,NA,133.000006887596
NA,NA,NA,NA,11.8,9.192,NA,147.799987904727
NA,NA,NA,NA,7.6,10.9265,NA,35.3000021343178
NA,NA,NA,NA,15.3,10.22,NA,107.499993697274
NA,NA,NA,NA,5.4,8.96,NA,143.299992196262
NA,NA,NA,NA,6.4,9.448,NA,44.7000020292762
NA,NA,NA,NA,13.9,7.1995,NA,62.4999972143996
NA,NA,NA,NA,10.7,9.2545,NA,98.8999994820915
NA,NA,NA,NA,14,10.123,NA,130.700001014338
NA,NA,NA,NA,8.7,9.845,NA,82.7999949091463
NA,NA,NA,NA,11.8,9.368,NA,127.800005546305
NA,NA,NA,NA,7.4,11.341,NA,132.10000799736
NA,NA,NA,NA,8.4,10.797,NA,49.2000041223946
NA,NA,NA,NA,12.9,9.192,NA,55.7999984790513
NA,NA,NA,NA,4.6,10.9265,NA,46.7999987129588
NA,NA,NA,NA,13.1,10.22,NA,174.599997187033
NA,NA,NA,NA,14.6,8.96,NA,53.0999936163425
NA,NA,NA,NA,5.3,9.448,NA,55.5999986012466
NA,NA,NA,NA,7.6,7.1995,NA,74.9999969440978
NA,NA,NA,NA,8.2,9.2545,NA,139.100002875784
NA,NA,NA,NA,11.7,10.123,NA,76.3000068662222
NA,NA,NA,NA,7.9,9.845,NA,108.200003337697
NA,NA,NA,NA,9.9,9.368,NA,214.700008647196
NA,NA,NA,NA,13.4,11.341,NA,125.999993621372
NA,NA,NA,NA,5,10.797,NA,114.999996629194
NA,NA,NA,NA,5.3,9.192,NA,51.8000014533754
NA,NA,NA,NA,5.8,10.9265,NA,63.8999981860252
NA,NA,NA,NA,19.1,10.22,NA,42.5999996485189
NA,NA,NA,NA,6.9,8.96,NA,75.6000002511428
NA,NA,NA,NA,5.7,9.448,NA,140.300004853634
NA,NA,NA,NA,8,7.1995,NA,40.7000024104491
NA,NA,NA,NA,13,9.2545,NA,54.0000005021284
NA,NA,NA,NA,6.4,10.123,NA,109.300002788405
NA,NA,NA,NA,11.7,9.845,NA,46.4000004110858
NA,NA,NA,NA,22.2,9.368,NA,50.7000006226008
NA,NA,NA,NA,11.3,11.341,NA,105.399996443884
NA,NA,NA,NA,10.2,10.797,NA,76.4000018643856
NA,NA,NA,NA,7,9.192,NA,92.4999955343083
NA,NA,NA,NA,7.2,10.9265,NA,116.799997945782
NA,NA,NA,NA,5,10.22,NA,143.800009443657
NA,NA,NA,NA,9,8.96,NA,103.3000003692
NA,NA,NA,NA,15.6,9.448,NA,91.0999987274408
NA,NA,NA,NA,5.2,7.1995,NA,64.9999999499414
NA,NA,NA,NA,6.8,9.2545,NA,35.9999960758614
NA,NA,NA,NA,12.2,10.123,NA,128.100006747991
