"","V1","V2","V3","V4","V5","V6"
"56",527.108758749052,527.108758749052,798.050931740138,798.050931740138,805.164852484859,805.164852484859
"57",183.083674163534,183.083674163534,767.448786885035,767.448786885035,764.014646365339,764.014646365339
"58",611.553405006147,611.553405006147,694.504324214839,694.504324214839,702.02817532463,702.02817532463
"59",-119.688209399784,-119.688209399784,596.015064907097,596.015064907097,627.959240347646,627.959240347646
"60",125.672619869774,125.672619869774,706.244740872425,706.244740872425,730.244592267733,730.244592267733
"61",87.2706109660763,87.2706109660763,744.856672383966,744.856672383966,747.701413283486,747.701413283486
"62",496.862846873733,496.862846873733,819.89609551986,819.89609551986,795.25951322408,795.25951322408
"63",282.182840174976,282.182840174976,755.827832967405,755.827832967405,735.939798007796,735.939798007796
"64",736.613428583361,736.613428583361,764.621094801648,764.621094801648,750.356515202473,750.356515202473
"65",-111.62612616663,-111.62612616663,762.762891315401,762.762891315401,750.501442016524,750.501442016524
"66",117.207432474961,117.207432474961,619.361062249068,619.361062249068,635.763969714355,635.763969714355
"67",49.7452059798847,49.7452059798847,570.626886942581,570.626886942581,615.370512678788,615.370512678788
"68",261.435150316034,261.435150316034,542.83482968124,542.83482968124,598.512147257719,598.512147257719
"69",754.29757743878,754.29757743878,594.272781437452,594.272781437452,641.245008491744,641.245008491744
"70",-49.4800813473668,-49.4800813473668,616.640749826024,616.640749826024,639.445702730798,639.445702730798
"71",51.9540854147352,51.9540854147352,693.955655279836,693.955655279836,692.326930861856,692.326930861856
"72",19.9285491481544,19.9285491481544,721.967219062216,721.967219062216,700.654060388288,700.654060388288
"73",123.758217697557,123.758217697557,740.412426320515,740.412426320515,713.841611329039,713.841611329039
"74",627.779464144041,627.779464144041,767.10113443785,767.10113443785,724.89440707158,724.89440707158
"75",130.437745827104,130.437745827104,751.184970530137,751.184970530137,708.659740075002,708.659740075002
"76",549.242380187352,549.242380187352,698.53706948862,698.53706948862,672.511268363565,672.511268363565
"77",440.584274087656,440.584274087656,784.754016502855,784.754016502855,755.695216707127,755.695216707127
"78",597.586107045078,597.586107045078,769.51368109421,769.51368109421,735.045496799971,735.045496799971
"79",346.013181412017,346.013181412017,788.552898177169,788.552898177169,751.222886079528,751.222886079528
"80",632.908952423822,632.908952423822,755.266668063559,755.266668063559,724.644671750751,724.644671750751
"81",601.09072919169,601.09072919169,770.007737005399,770.007737005399,745.9801027056,745.9801027056
"82",552.622331874837,552.622331874837,640.99237211875,640.99237211875,641.023048068697,641.023048068697
"83",585.204314406308,585.204314406308,654.841195143086,654.841195143086,669.421604674116,669.421604674116
"84",619.202270823262,619.202270823262,686.563245013852,686.563245013852,693.513708822294,693.513708822294
"85",375.032267698086,375.032267698086,518.295115584183,518.295115584183,554.823965578623,554.823965578623
"86",538.541287447462,538.541287447462,563.800320788993,563.800320788993,610.509571476672,610.509571476672
"87",783.42642168394,783.42642168394,738.830312030028,738.830312030028,738.078640621478,738.078640621478
"88",773.958899249566,773.958899249566,789.060170510213,789.060170510213,750.955917746434,750.955917746434
"89",521.99619142762,521.99619142762,665.465723313469,665.465723313469,642.584073502942,642.584073502942
"90",493.589572034728,493.589572034728,670.148534647643,670.148534647643,662.787663022364,662.787663022364
"91",748.942858247135,748.942858247135,788.806398775768,788.806398775768,756.296817508878,756.296817508878
"92",593.867423184507,593.867423184507,761.116174902225,761.116174902225,725.912246366903,725.912246366903
"93",670.677862944593,670.677862944593,764.453133956796,764.453133956796,732.636525919251,732.636525919251
"94",614.199152737535,614.199152737535,787.139961363512,787.139961363512,750.607753026261,750.607753026261
"95",407.55475239949,407.55475239949,604.953502674318,604.953502674318,605.921752332478,605.921752332478
"96",391.970452637394,391.970452637394,614.292577563746,614.292577563746,636.590716692077,636.590716692077
"97",464.394355060373,464.394355060373,511.928592910451,511.928592910451,556.999526394903,556.999526394903
"98",603.513556356673,603.513556356673,538.417218319439,538.417218319439,587.248550491112,587.248550491112
"99",592.07164146428,592.07164146428,676.072527730995,676.072527730995,684.166938577949,684.166938577949
"100",603.305747715527,603.305747715527,637.060625491666,637.060625491666,636.813365968944,636.813365968944
"101",620.684196238877,620.684196238877,598.502316960684,598.502316960684,606.671828313618,606.671828313618
"102",587.400952870262,587.400952870262,575.396202206304,575.396202206304,593.033653695201,593.033653695201
"103",499.278765825507,499.278765825507,578.119454993463,578.119454993463,593.842203861865,593.842203861865
"104",674.823192225803,674.823192225803,652.9375459989,652.9375459989,646.809941165626,646.809941165626
"105",696.951204677907,696.951204677907,677.622154909759,677.622154909759,652.7831824943,652.7831824943
"106",478.619511761834,478.619511761834,664.767970217591,664.767970217591,657.836040974668,657.836040974668
"107",601.152179369976,601.152179369976,656.204405652463,656.204405652463,642.352831969035,642.352831969035
"108",641.243439427102,641.243439427102,666.75912850067,666.75912850067,654.649129053334,654.649129053334
"109",431.097442039583,431.097442039583,555.107028595298,555.107028595298,566.872939000255,566.872939000255
"110",506.859199844215,506.859199844215,527.072478900549,527.072478900549,561.345915698309,561.345915698309
"111",516.994587372333,516.994587372333,504.870350717098,504.870350717098,548.24096932469,548.24096932469
"112",588.726626074608,588.726626074608,543.986659127798,543.986659127798,582.437937957874,582.437937957874
"113",506.568768779375,506.568768779375,509.685634861186,509.685634861186,547.941399377547,547.941399377547
"114",523.813109191126,523.813109191126,520.011898004794,520.011898004794,557.726980040675,557.726980040675
"115",446.579262522751,446.579262522751,482.865313693871,482.865313693871,525.53780921699,525.53780921699
"116",521.331690867032,521.331690867032,545.648764695252,545.648764695252,573.829776691211,573.829776691211
"117",714.558416353267,714.558416353267,649.881705688917,649.881705688917,642.552067463001,642.552067463001
"118",622.927459572775,622.927459572775,675.190100683074,675.190100683074,646.571277763011,646.571277763011
"119",455.944406668718,455.944406668718,566.103380504464,566.103380504464,555.741007747126,555.741007747126
"120",610.366293774191,610.366293774191,575.422356081018,575.422356081018,574.880566130087,574.880566130087
"121",537.286868784037,537.286868784037,551.789210089544,551.789210089544,561.157902068299,561.157902068299
"122",523.017217023297,523.017217023297,621.7969464392,621.7969464392,622.901347689523,622.901347689523
"123",732.39002129049,732.39002129049,642.007478843783,642.007478843783,624.098987925651,624.098987925651
"124",626.75054397313,626.75054397313,724.638459049139,724.638459049139,687.354968447445,687.354968447445
"125",484.902040441271,484.902040441271,541.353479111297,541.353479111297,533.334615087161,533.334615087161
"126",382.287152823907,382.287152823907,491.672546529756,491.672546529756,519.193761763906,519.193761763906
"127",581.930603820879,581.930603820879,528.730176725877,528.730176725877,557.886595465545,557.886595465545
"128",551.480952722216,551.480952722216,497.786737433658,497.786737433658,526.938688569176,526.938688569176
"129",496.649444382691,496.649444382691,598.145510087833,598.145510087833,613.739628318514,613.739628318514
"130",615.621510544929,615.621510544929,657.325028183139,657.325028183139,644.450583077413,644.450583077413
"131",380.574544457534,380.574544457534,501.074022729075,501.074022729075,507.039940441221,507.039940441221
"132",432.591090163207,432.591090163207,482.296341686508,482.296341686508,507.369653890069,507.369653890069
"133",753.605156387929,753.605156387929,600.3445775298,600.3445775298,608.696791019747,608.696791019747
"134",480.972910897585,480.972910897585,531.573873449514,531.573873449514,541.183956162714,541.183956162714
"135",431.721815305201,431.721815305201,523.625451682633,523.625451682633,537.835913126001,537.835913126001
"136",635.274327584738,635.274327584738,554.147077356944,554.147077356944,558.540477320732,558.540477320732
"137",544.291473527016,544.291473527016,571.074862727039,571.074862727039,564.756382112826,564.756382112826
"138",603.966923206149,603.966923206149,517.233897570302,517.233897570302,522.179895334281,522.179895334281
"139",552.914964726405,552.914964726405,547.321811369786,547.321811369786,549.364575171681,549.364575171681
"140",627.726446587276,627.726446587276,678.040727975325,678.040727975325,647.636429551906,647.636429551906
"141",366.711998653116,366.711998653116,462.842218724158,462.842218724158,463.269963883425,463.269963883425
"142",387.110031974653,387.110031974653,460.98294831355,460.98294831355,484.949204809084,484.949204809084
"143",644.727998225084,644.727998225084,504.999421001393,504.999421001393,522.532863713971,522.532863713971
"144",634.479681949641,634.479681949641,666.81305337144,666.81305337144,643.923758592545,643.923758592545
"145",546.407434306218,546.407434306218,582.292142491982,582.292142491982,553.336890932585,553.336890932585
"146",440.951684074513,440.951684074513,569.653290108667,569.653290108667,548.172202289064,548.172202289064
"147",675.985013762231,675.985013762231,682.346834825113,682.346834825113,641.93932857297,641.93932857297
"148",699.191517993231,699.191517993231,726.165834907443,726.165834907443,668.408430348208,668.408430348208
"149",608.976361728004,608.976361728004,657.494316697119,657.494316697119,613.094132920944,613.094132920944
"150",537.78733715503,537.78733715503,597.509995898585,597.509995898585,573.583063802698,573.583063802698
"151",459.434640631184,459.434640631184,525.117152524967,525.117152524967,533.801753462826,533.801753462826
"152",531.926695163625,531.926695163625,530.807434395318,530.807434395318,550.613716351247,550.613716351247
"153",655.352947860187,655.352947860187,696.823445460552,696.823445460552,679.906611962739,679.906611962739
"154",507.06989666995,507.06989666995,630.021762672151,630.021762672151,604.186236511448,604.186236511448
"155",456.686979122688,456.686979122688,498.305260715366,498.305260715366,505.117670544037,505.117670544037
